"Item","Qty","Reference(s)","Value","manf#"
"1","1","BT1","Battery_Cell","-"
"2","4","C1, C2, C4, C5","10uF","CL21A106KOQNNNG"
"3","1","C3","0.1uF","CL21F104ZBCNNNC"
"4","1","D1","ON","150080RS75000"
"5","1","D2","Status","150080BS75000"
"6","1","D3","MBR120","MBR120VLSFT3G"
"7","1","D4","CHG","150080GS75000"
"8","1","J1","USB_B_Micro","629105150521"
"9","1","J2","SWD","-"
"10","1","J3","Coil","-"
"11","2","R1, R2","180R","RMCF0805JT180R"
"12","1","R3","4.7K","RS-05K472JT"
"13","1","R4","470","CRCW0805470RFKEAC"
"14","1","SW1","RST","-"
"15","1","SW2","S1","-"
"16","1","U1","AP2112K-3.3","AP2112K-3.3"
"17","1","U2","ATSAMD11C14A","ATSAMD11C14A-SSUT"
"18","1","U3","TC4424","TC4424AVOA713"
"19","1","U4","MCP73831","MCP73831T-5ACI/OT"
