"Item","Qty","Reference(s)","Value","LCSC#","Proveedor","manf#"
"1","1","BT1","Battery_Cell","","","-"
"2","2","C1, C2","0.1uF","","MOUSER","GRM022R61A104ME01L"
"3","4","C3, C4, C17, C18","10uF","C2992625","LCSC","0402X106M100CT"
"4","1","D1","MBR120","C130880","LCSC","MBR120LSF"
"5","1","D3","Status","","MOUSER","150080VS75000"
"6","1","D4","CHG","","MOUSER","150080GS75000"
"7","1","F1","0.5A","","MOUSER","MFU0805FF00500P100"
"8","4","H1, H2, H3, H4","MountingHole","","",""
"9","1","J1","Coil","","","-"
"10","1","J2","SWD","","","-"
"11","1","JP1","boot","","",""
"12","1","P1","USB_C_Plug_USB2.0","C2987386","LCSC","USB4105-GF-A"
"13","1","Q1","DMG3415U-7","C96616","LCSC","DMG3415UQ-7"
"14","1","R1","20K","","MOUSER","ERJ-H2RD2002X"
"15","2","R2, R3","5.1k","C2692696","LCSC","PTFR0402B5K10P9"
"16","1","R7","180R","","MOUSER","ERJ-2RKF1800X"
"17","1","R9","5.1k","C2692696","LCSC","PTFR0402B5K10P9"
"18","1","R10","470","","MOUSER","SFR01MZPJ471"
"19","1","R11","100K","","MOUSER","ERJ-2RKF1003X"
"20","1","SW1","ON","-","","JS102011SAQN"
"21","1","SW3","S1","C2886897","LCSC","TL3342F450QG"
"22","1","SW4","SOURCE MAG","","MOUSER","JS102011SAQN"
"23","1","SW5","RESET","C2886897","LCSC","TL3342F450QG"
"24","1","U1","CH552G","C111292","LCSC",""
"25","1","U2","AP2112K-3.3","C150742","","AP7347DQ-33W5-7"
"26","1","U3","TC4424","","","TC4424AVOA"
"27","1","U5","MCP73831","","MOUSER","MCP73831T-5ACI/OT"
